Subject,Start Date,Start Time,End Date,End Time,Description,Location
SENG301 LecA,05/16/2016,09:00 AM,05/16/2016,10:00 AM,"Software Engineering II ::  Churcher,NI", A5 Lecture Theatre
SENG301 LecA,05/23/2016,09:00 AM,05/23/2016,10:00 AM,"Software Engineering II ::  Churcher,NI", A5 Lecture Theatre
SENG301 LecB,02/26/2016,03:00 PM,02/26/2016,04:00 PM,"Software Engineering II :: Mathews,MM", F3 Lecture Theatre
SENG301 LecB,03/04/2016,03:00 PM,03/04/2016,04:00 PM,"Software Engineering II ::  Churcher,NI", F3 Lecture Theatre
SENG301 LecB,03/11/2016,03:00 PM,03/11/2016,04:00 PM,"Software Engineering II ::  Churcher,NI", F3 Lecture Theatre
SENG301 LecB,04/01/2016,03:00 PM,04/01/2016,04:00 PM,"Software Engineering II :: Mathews,MM", F3 Lecture Theatre
SENG301 LecB,05/06/2016,03:00 PM,05/06/2016,04:00 PM,"Software Engineering II :: Mathews,MM", F3 Lecture Theatre
SENG301 LecB,05/13/2016,03:00 PM,05/13/2016,04:00 PM,"Software Engineering II ::  Churcher,NI", F3 Lecture Theatre
SENG301 LecB,05/20/2016,03:00 PM,05/20/2016,04:00 PM,"Software Engineering II ::  Churcher,NI", F3 Lecture Theatre
SENG301 LecB,05/27/2016,03:00 PM,05/27/2016,04:00 PM,"Software Engineering II ::  Churcher,NI", F3 Lecture Theatre
SENG302 ComA,02/26/2016,09:00 AM,02/26/2016,11:00 AM,"Software Engineering Group Project :: Young,TJ", Erskine 131 Lab 1
SENG302 ComA,03/04/2016,09:00 AM,03/04/2016,11:00 AM,Software Engineering Group Project ::  Cosc300Tutor, Erskine 131 Lab 1
SENG302 ComA,03/11/2016,09:00 AM,03/11/2016,11:00 AM,Software Engineering Group Project ::  Cosc300Tutor, Erskine 131 Lab 1
SENG302 ComA,04/01/2016,09:00 AM,04/01/2016,11:00 AM,"Software Engineering Group Project :: Young,TJ", Erskine 131 Lab 1
SENG302 ComA,05/06/2016,09:00 AM,05/06/2016,11:00 AM,"Software Engineering Group Project :: Young,TJ", Erskine 131 Lab 1
SENG302 ComA,05/13/2016,09:00 AM,05/13/2016,11:00 AM,Software Engineering Group Project ::  Cosc300Tutor, Erskine 131 Lab 1
SENG302 ComA,05/20/2016,09:00 AM,05/20/2016,11:00 AM,Software Engineering Group Project ::  Cosc300Tutor, Erskine 131 Lab 1
SENG302 ComA,05/27/2016,09:00 AM,05/27/2016,11:00 AM,Software Engineering Group Project ::  Cosc300Tutor, Erskine 131 Lab 1
SENG302 ComA,07/15/2016,09:00 AM,07/15/2016,11:00 AM,"Software Engineering Group Project :: Young,TJ", Erskine 131 Lab 1
SENG302 ComA,07/22/2016,09:00 AM,07/22/2016,11:00 AM,Software Engineering Group Project ::  Cosc300Tutor, Erskine 131 Lab 1
SENG302 ComA,07/29/2016,09:00 AM,07/29/2016,11:00 AM,Software Engineering Group Project ::  Cosc300Tutor, Erskine 131 Lab 1
SENG302 ComA,08/05/2016,09:00 AM,08/05/2016,11:00 AM,Software Engineering Group Project ::  Cosc300Tutor, Erskine 131 Lab 1
SENG302 ComA,08/12/2016,09:00 AM,08/12/2016,11:00 AM,Software Engineering Group Project ::  Cosc300Tutor, Erskine 131 Lab 1
SENG302 ComA,09/09/2016,09:00 AM,09/09/2016,11:00 AM,"Software Engineering Group Project :: Young,TJ", Erskine 131 Lab 1
SENG302 ComA,09/16/2016,09:00 AM,09/16/2016,11:00 AM,Software Engineering Group Project ::  Cosc300Tutor, Erskine 131 Lab 1
SENG302 ComA,09/23/2016,09:00 AM,09/23/2016,11:00 AM,Software Engineering Group Project ::  Cosc300Tutor, Erskine 131 Lab 1
SENG302 ComA,10/14/2016,09:00 AM,10/14/2016,11:00 AM,Software Engineering Group Project ::  Cosc300Tutor, Erskine 131 Lab 1
SENG302 ComB,02/26/2016,01:00 PM,02/26/2016,03:00 PM,"Software Engineering Group Project :: Young,TJ",Erskine 242
SENG302 ComB,03/04/2016,01:00 PM,03/04/2016,03:00 PM,Software Engineering Group Project ::  Cosc300Tutor, Erskine 244
SENG302 ComB,03/11/2016,01:00 PM,03/11/2016,03:00 PM,Software Engineering Group Project ::  Cosc300Tutor, Erskine 244
SENG302 ComB,04/01/2016,01:00 PM,04/01/2016,03:00 PM,"Software Engineering Group Project :: Young,TJ",Erskine 242
SENG302 ComB,05/06/2016,01:00 PM,05/06/2016,03:00 PM,"Software Engineering Group Project :: Young,TJ",Erskine 242
SENG302 ComB,05/13/2016,01:00 PM,05/13/2016,03:00 PM,Software Engineering Group Project ::  Cosc300Tutor, Erskine 244
SENG302 ComB,05/20/2016,01:00 PM,05/20/2016,03:00 PM,Software Engineering Group Project ::  Cosc300Tutor, Erskine 244
