Subject,Start Date,Start Time,End Date,End Time,Description,Location
LecA SENG301,03/21/2016,09:00 AM,03/21/2016,10:00 AM,"Software Engineering II :: Mathews,MM", A5 Lecture Theatre
LecA SENG301,04/04/2016,09:00 AM,04/04/2016,10:00 AM,"Software Engineering II ::  Churcher,NI", A5 Lecture Theatre
LecA SENG301,05/02/2016,09:00 AM,05/02/2016,10:00 AM,"Software Engineering II :: Mathews,MM", A5 Lecture Theatre
LecA SENG301,05/09/2016,09:00 AM,05/09/2016,10:00 AM,"Software Engineering II ::  Churcher,NI", A5 Lecture Theatre
LecA SENG301,05/16/2016,09:00 AM,05/16/2016,10:00 AM,"Software Engineering II ::  Churcher,NI", A5 Lecture Theatre
LecA SENG301,05/23/2016,09:00 AM,05/23/2016,10:00 AM,"Software Engineering II ::  Churcher,NI", A5 Lecture Theatre
LecA SENG301,05/30/2016,09:00 AM,05/30/2016,10:00 AM,"Software Engineering II :: Mathews,MM", A5 Lecture Theatre
LecB SENG301,02/26/2016,03:00 PM,02/26/2016,04:00 PM,"Software Engineering II :: Mathews,MM", F3 Lecture Theatre
LecB SENG301,03/04/2016,03:00 PM,03/04/2016,04:00 PM,"Software Engineering II ::  Churcher,NI", F3 Lecture Theatre
LecB SENG301,03/11/2016,03:00 PM,03/11/2016,04:00 PM,"Software Engineering II ::  Churcher,NI", F3 Lecture Theatre
LecB SENG301,03/18/2016,03:00 PM,03/18/2016,04:00 PM,"Software Engineering II :: Mathews,MM", F3 Lecture Theatre
LecB SENG301,04/01/2016,03:00 PM,04/01/2016,04:00 PM,"Software Engineering II :: Mathews,MM", F3 Lecture Theatre
LecB SENG301,04/08/2016,03:00 PM,04/08/2016,04:00 PM,"Software Engineering II :: Mathews,MM", F3 Lecture Theatre
LecB SENG301,05/06/2016,03:00 PM,05/06/2016,04:00 PM,"Software Engineering II :: Mathews,MM", F3 Lecture Theatre
LecB SENG301,05/13/2016,03:00 PM,05/13/2016,04:00 PM,"Software Engineering II ::  Churcher,NI", F3 Lecture Theatre
